
trainStationOld
exercise,submission,#Sub,Percent,#AST,#RL,#PL,#FOL,#LTL,DiffT,DiffRL,DiffPL,DiffFOL,DiffLTL,PctDiff,Up-RL-PL,Up-RL-FOL,Up-RL-LTL,Up-PL-FOL,Up-PL-LTL,UP-FOL-LTL,Down-PL-RL,Down-FOL-RL,Down-LTL-RL,Down-FOL-RL,Down-LTL-PL,Down-LTL-FOL,

inv2_oracle,"all s : Signal | eventually s in Green", , ,10,2,0,1,1,
inv2,"all s:Signal |eventually s in Green",37,92.5,10,2,0,1,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
inv2,"all s : Signal - Green | eventually s in Green",1,2.5,12,3,0,1,1,-2,-1,0,0,0,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0
inv2,"eventually (all s:Signal | eventually s in Green)",1,2.5,11,2,0,1,2,-1,0,0,0,-1,0.9090909090909091,0,0,0,0,0,0,0,0,0,0,0,0
inv2,"all t : Track | eventually t.signal in Green",1,2.5,12,3,0,1,1,-2,-1,0,0,0,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0

inv3_oracle,"always pos' = pos", , ,5,1,0,0,2,
inv3,"always pos' = pos",9,24.324324324324326,5,1,0,0,2,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
inv3,"always all t:Train | t.pos'=t.pos",6,16.216216216216218,15,4,0,1,2,-10,-3,0,-1,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
inv3,"always pos = pos'",5,13.513513513513514,5,1,0,0,2,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
inv3,"all t:Train | always t.pos'=t.pos",4,10.81081081081081,15,4,0,1,2,-10,-3,0,-1,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
inv3,"all t: Train, tk: Track | (t->tk in pos implies always t->tk in pos) and (t->tk not in pos implies always t->tk not in pos)",3,8.108108108108109,35,10,3,1,2,-30,-9,-3,-1,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0
inv3,"always all t:Train | t.pos = t.pos'",3,8.108108108108109,15,4,0,1,2,-10,-3,0,-1,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
inv3,"always (all t:Train | (t.pos)'=t.pos)",2,5.405405405405405,15,4,0,1,2,-10,-3,0,-1,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
inv3,"all t : Train | always t.pos = t.pos'",2,5.405405405405405,15,4,0,1,2,-10,-3,0,-1,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
inv3,"always all t: Train, tk: Track | (t->tk in pos implies always t->tk in pos) and (t->tk not in pos implies always t->tk not in pos)",2,5.405405405405405,36,10,3,1,3,-31,-9,-3,-1,-1,0.1388888888888889,0,0,0,0,0,0,0,0,0,0,0,0
